customer_acquisition_cost,ltv,churn_rate,retention_rate,arpu,mrr,arr,conversion_rate,revenue_per_customer
240.45,3003.14,0.2716,0.9395,137.4,48799.83,292997.94,0.0639,1253.71
354.28,2814.25,0.2838,0.8785,98.57,42413.47,656432.83,0.0942,1167.56
300.77,3008.41,0.2697,0.8873,133.84,41258.62,347429.96,0.063,1232.46
142.77,2989.77,0.011,0.8443,26.55,78484.95,212141.32,0.1438,961.33
299.31,1262.01,0.2809,0.9638,140.2,41361.76,740053.22,0.1108,778.75
246.12,3148.88,0.0499,0.9012,64.15,25079.42,900821.0,0.0843,645.93
224.23,2124.37,0.0216,0.8107,71.02,52569.21,527848.69,0.0466,1350.7
320.88,1791.59,0.0261,0.7692,82.69,67293.99,845904.42,0.1231,1665.46
352.32,1784.85,0.1112,0.7206,139.32,71001.52,764804.45,0.1364,1137.72
344.85,2989.61,0.19,0.748,76.84,30791.32,738112.93,0.1579,1346.33
212.06,2475.65,0.1267,0.9879,84.23,68860.48,572398.6,0.1982,796.99
251.81,1332.46,0.0174,0.818,74.55,84472.49,487965.69,0.0501,1043.4
299.84,3024.46,0.1482,0.9606,113.09,39211.45,674136.15,0.0079,1030.06
348.17,1522.31,0.1382,0.7495,128.55,47627.92,734306.97,0.1026,1171.91
239.06,2759.53,0.2295,0.8234,158.97,30179.33,356395.93,0.1852,1074.58
261.08,2836.82,0.0911,0.9786,180.99,81086.04,541790.31,0.0535,1929.4
192.02,3343.7,0.0731,0.7264,125.59,25875.62,568511.86,0.1524,1303.21
185.28,4045.65,0.0842,0.8723,116.58,43903.49,550125.79,0.0673,1461.44
335.94,1581.0,0.0981,0.9666,66.45,63447.36,472328.89,0.0813,1135.76
376.72,2608.9,0.1838,0.9754,165.46,39213.79,342139.18,0.1898,376.79
269.6,2433.54,0.1467,0.9453,111.82,34179.58,545756.17,0.0949,1191.97
350.26,2989.77,0.1077,0.9482,95.85,49638.03,551011.04,0.1464,1396.83
302.12,2818.94,0.1186,0.8891,117.27,89937.58,512393.36,0.1122,1491.26
226.62,2373.84,0.1176,0.7639,84.85,46275.99,734567.8,0.154,1028.71
302.1,2304.63,0.292,0.9119,30.97,47083.31,335013.16,0.0669,595.52
390.35,1775.45,0.0776,0.9837,123.11,32093.27,661517.86,0.176,958.39
272.31,3423.82,0.2472,0.8525,147.51,56854.08,250841.41,0.112,590.88
392.35,3009.71,0.2154,0.7756,122.64,65081.44,592883.25,0.0653,1457.59
78.52,3368.92,0.0116,0.8663,104.78,40495.98,159390.94,0.0124,1193.72
336.64,2406.86,0.298,0.9003,105.42,59339.57,429808.21,0.0076,887.73
281.53,2135.48,0.2294,0.7604,110.46,40624.29,601654.29,0.0739,1285.01
252.57,1805.32,0.2079,0.9086,109.49,19253.6,323847.67,0.0471,1515.23
281.88,2931.15,0.1275,0.8704,103.08,58046.52,325129.86,0.0153,1298.32
125.93,1835.5,0.171,0.8776,105.8,84727.32,800415.1,0.1128,1683.23
258.52,4098.12,0.0834,0.7887,154.24,30767.71,290075.87,0.1978,769.58
301.78,1625.68,0.0203,0.745,119.96,53459.77,582470.7,0.0874,1358.12
385.84,2864.37,0.2524,0.8808,108.33,72110.96,898256.13,0.1127,587.95
236.13,3877.37,0.27,0.87,125.88,48817.23,634199.55,0.0479,1649.74
214.36,3119.29,0.0571,0.798,125.88,26957.24,611730.8,0.045,1280.56
237.37,2787.61,0.2382,0.7858,134.96,51241.81,464717.78,0.069,931.73
343.66,1891.35,0.2249,0.8007,81.03,75090.94,465394.64,0.1678,684.02
299.66,1567.61,0.0617,0.8421,89.78,42142.18,572780.6,0.1923,879.02
235.27,3253.21,0.1323,0.9827,79.24,54332.01,210682.65,0.1492,967.83
313.5,3829.82,0.1326,0.9214,129.28,33116.79,806519.01,0.009,1118.45
282.28,2306.23,0.2304,0.947,127.73,48858.7,647098.91,0.0905,1044.61
347.65,1757.74,0.2529,0.8466,64.68,56880.41,259937.79,0.087,849.37
222.35,724.43,0.0375,0.8526,117.38,52576.57,809152.81,0.1874,1416.53
250.43,1881.73,0.1733,0.7593,148.45,43380.29,740490.21,0.1504,511.91
245.59,2560.97,0.2309,0.9091,97.55,57809.38,692939.6,0.1443,1231.54
165.24,3902.65,0.238,0.8223,114.94,61546.71,1048780.08,0.1151,1108.81
297.21,3177.29,0.0529,0.9153,128.13,62637.38,625074.57,0.1309,1047.79
294.58,2888.98,0.1624,0.8186,63.18,45666.68,908971.92,0.1412,1249.54
275.38,2336.57,0.2587,0.7315,109.81,40253.35,611051.26,0.1127,838.54
257.41,2193.19,0.1024,0.7502,145.28,82891.46,695580.37,0.1697,806.25
168.85,3751.09,0.1333,0.9354,86.22,52770.8,496438.16,0.0122,958.31
243.45,2807.25,0.2433,0.775,131.36,46251.46,232706.15,0.1886,883.25
249.3,1002.96,0.0359,0.7767,105.86,26128.15,244336.23,0.1558,974.96
214.83,2122.39,0.2593,0.9695,83.64,35114.07,589279.48,0.1081,1278.01
262.9,1977.73,0.1002,0.8907,101.94,39901.75,559023.19,0.1728,1084.97
305.3,2222.09,0.0104,0.7331,88.34,57750.32,372365.9,0.1665,1059.41
416.46,3090.95,0.0779,0.7416,76.87,44622.25,551121.07,0.0868,1123.22
288.09,2565.83,0.036,0.779,96.95,50750.76,695126.86,0.1688,945.43
294.32,2589.79,0.0368,0.8723,107.17,26851.38,861601.99,0.0417,1336.1
269.42,3678.89,0.2109,0.9183,99.74,73673.08,468955.88,0.0965,1229.07
131.09,2104.44,0.0721,0.7796,96.6,38331.41,683797.51,0.0503,1051.76
273.01,4110.29,0.2811,0.9525,112.16,54379.52,950367.33,0.0293,691.37
279.52,2124.14,0.1598,0.7317,121.83,41745.76,754500.56,0.1794,1464.63
459.74,2719.87,0.1434,0.7602,68.77,45250.82,453645.94,0.0766,1260.44
260.57,2429.72,0.1359,0.9814,97.01,37398.25,626076.76,0.1385,1229.59
297.62,2746.68,0.2109,0.7391,42.5,55389.0,642585.12,0.0781,1588.08
272.4,2998.26,0.1412,0.9576,99.86,34324.35,732217.2,0.1111,1270.24
187.35,2989.84,0.0473,0.9041,109.77,55685.2,613734.36,0.0729,1034.63
360.71,2060.06,0.2652,0.7212,123.04,48539.38,701758.82,0.1498,888.29
331.39,1770.38,0.1342,0.8403,109.88,60895.33,807897.86,0.1584,875.95
334.33,4610.82,0.0315,0.8505,122.36,62523.24,397739.47,0.089,1137.31
206.8,2270.88,0.1635,0.9703,107.07,45259.92,344520.27,0.1726,1356.11
380.21,3197.72,0.1977,0.8221,83.61,56539.52,726547.65,0.0743,1359.68
169.86,1390.68,0.0899,0.8296,69.66,43103.34,575651.27,0.1537,612.85
319.01,2430.97,0.2421,0.7326,96.67,72215.28,776895.97,0.1318,1342.78
439.28,2550.36,0.2042,0.8854,80.73,44576.83,821359.49,0.0939,956.17
200.71,3020.37,0.1986,0.7612,101.21,47170.68,239620.86,0.1783,863.68
232.53,517.41,0.132,0.7225,89.42,42764.64,440267.03,0.1166,1165.92
282.47,2780.14,0.289,0.9891,118.27,38404.24,581221.67,0.1688,1299.43
237.24,1749.37,0.0895,0.7782,106.55,84056.02,403305.38,0.148,659.48
158.7,2904.07,0.1775,0.7409,119.17,58525.79,512352.99,0.1089,1118.84
280.14,1838.21,0.0996,0.9029,119.01,51623.44,352821.64,0.0687,536.62
195.33,1979.87,0.226,0.9383,99.31,42642.35,519158.3,0.1905,1300.77
310.52,2435.66,0.0239,0.7186,101.25,68866.34,414725.73,0.0161,698.63
206.04,1825.68,0.0233,0.7306,120.88,41496.93,674235.54,0.1794,1110.4
391.25,2277.5,0.2451,0.7262,182.45,52492.86,784679.19,0.1037,933.96
216.26,1715.19,0.1359,0.7136,73.68,86848.7,686931.59,0.151,869.36
250.85,1214.02,0.1089,0.8912,106.32,34705.33,1120353.57,0.0702,416.52
336.01,3447.4,0.1862,0.8706,67.14,59402.98,791895.03,0.0799,606.94
182.69,1634.76,0.2136,0.8922,104.34,55261.0,784467.26,0.0422,1026.19
292.06,2510.03,0.0683,0.8466,83.65,59214.63,589743.69,0.1911,755.46
373.04,3239.76,0.0638,0.9371,101.2,45799.09,545242.2,0.0134,949.1
154.44,2168.29,0.2879,0.8585,109.92,40727.78,858075.3,0.0804,800.84
288.85,2003.62,0.181,0.9664,89.5,54237.13,555900.07,0.0703,961.88
294.49,2827.22,0.1231,0.8408,48.51,42975.52,612914.41,0.1636,669.45
333.64,3525.71,0.2424,0.9293,150.14,12027.97,571907.61,0.1028,899.22
182.23,1734.04,0.1623,0.8181,131.58,36896.31,712911.68,0.038,965.14
175.97,2532.38,0.0801,0.8262,100.87,45274.99,782522.54,0.1043,1059.35
314.15,1292.88,0.07,0.9462,76.67,32715.49,816736.86,0.051,472.11
297.27,2341.99,0.1251,0.7312,107.69,52991.28,545857.05,0.0083,1066.22
293.79,2676.79,0.2594,0.8638,116.43,37999.66,642067.65,0.1112,697.9
300.98,1980.54,0.0278,0.9106,129.38,49783.26,671610.45,0.0753,617.4
224.0,2292.02,0.0734,0.9176,132.3,86269.9,895912.12,0.0516,1439.93
292.42,1546.89,0.269,0.8715,138.27,70745.54,252342.1,0.0386,1281.02
296.98,2710.38,0.0453,0.8299,49.87,60259.62,608266.2,0.0935,1224.48
221.42,3476.96,0.1926,0.7756,95.35,80352.28,478672.41,0.1746,980.08
414.93,1790.57,0.0719,0.9637,136.45,49302.33,500559.35,0.1528,866.07
310.54,2162.24,0.1857,0.8072,75.75,49470.27,437603.03,0.0059,1520.97
185.65,3043.66,0.1211,0.9317,143.61,33082.66,712746.01,0.1476,1092.7
324.24,3599.47,0.0395,0.7092,162.33,71589.56,120754.09,0.0192,765.36
201.9,1480.33,0.1789,0.7673,142.72,82790.38,578585.8,0.1119,734.98
334.03,2517.79,0.2081,0.8002,125.95,65472.26,245334.43,0.1571,1148.54
361.89,2871.79,0.2073,0.8948,90.83,73985.87,468883.7,0.0934,939.79
213.45,2570.06,0.1947,0.7926,113.92,5333.94,563678.83,0.0785,1377.19
347.25,709.85,0.1551,0.712,62.37,89104.99,525682.94,0.1882,1072.83
305.96,3042.52,0.1606,0.7504,80.26,48778.34,740867.32,0.0107,669.81
336.65,3840.15,0.1943,0.7752,82.49,89373.47,853433.69,0.0257,1639.31
417.26,2741.39,0.2102,0.7511,106.96,79072.23,993715.58,0.1747,726.82
256.6,1842.3,0.1999,0.7591,92.58,63245.02,604512.07,0.1778,663.02
218.47,2248.05,0.1802,0.923,113.28,44839.92,835894.76,0.0777,1023.43
208.29,4036.43,0.0552,0.8195,132.8,53110.95,895861.48,0.1103,1197.5
213.81,3362.8,0.0711,0.8175,82.53,18984.59,511699.58,0.0371,765.2
269.22,3151.35,0.0855,0.9803,109.71,65858.19,850152.49,0.1774,1270.25
300.59,2929.19,0.2767,0.8295,91.83,8342.42,175214.18,0.0965,893.73
295.75,2132.11,0.2302,0.969,111.02,45571.63,664945.73,0.115,1824.3
337.04,2492.89,0.1703,0.7867,126.73,75963.42,923881.36,0.028,1155.6
275.98,2588.96,0.0831,0.8162,134.17,62391.96,625664.65,0.1249,706.43
384.02,3080.5,0.0422,0.8149,126.23,25256.41,568302.88,0.1407,827.21
255.15,3831.99,0.2706,0.8584,118.11,28384.96,567305.7,0.0625,1206.16
479.01,3526.03,0.2689,0.8694,60.03,40642.31,896755.92,0.1797,792.82
321.93,1538.15,0.0421,0.772,70.76,51793.2,290847.51,0.0448,1025.85
210.71,2825.46,0.2412,0.9301,78.9,64963.09,528581.38,0.18,1673.75
194.68,3227.13,0.1395,0.844,116.36,60468.28,772778.77,0.1422,1252.61
311.19,3134.77,0.104,0.702,64.12,33030.56,668942.44,0.167,1238.35
258.24,2157.1,0.2243,0.8715,115.69,60709.09,841000.25,0.1413,1678.26
328.55,4932.72,0.1882,0.9314,113.37,62468.06,741087.84,0.0885,809.68
310.49,1649.62,0.2362,0.7726,43.7,58560.58,512568.4,0.0697,1044.76
269.54,1801.5,0.0316,0.711,70.56,91390.05,721130.0,0.1481,953.95
211.49,2832.98,0.1024,0.9341,138.06,62484.26,344722.21,0.0631,851.63
161.39,4308.16,0.1026,0.9831,127.08,66469.08,206596.35,0.0171,969.18
241.51,1994.98,0.1056,0.7222,78.07,81451.66,484921.18,0.0532,905.7
339.23,2441.77,0.1557,0.972,72.23,64526.93,621819.22,0.1523,841.6
291.06,3493.88,0.0921,0.8042,27.41,41407.58,445297.54,0.1597,956.44
181.57,2636.01,0.1389,0.973,151.59,71004.6,640527.32,0.0589,842.83
287.99,2387.89,0.1167,0.8882,106.3,43877.0,617588.43,0.0689,1152.66
303.9,3093.08,0.2232,0.9582,164.65,34286.96,237698.18,0.1121,747.68
208.71,2863.47,0.185,0.9279,98.93,35699.87,499143.52,0.0561,1372.01
286.53,3457.18,0.1996,0.7081,113.95,70817.26,792325.49,0.1232,1279.83
279.37,3661.65,0.0711,0.719,133.22,60734.06,702329.85,0.06,1191.24
189.28,2890.49,0.1044,0.8525,156.9,68003.79,468102.08,0.0286,904.74
301.83,2878.52,0.0161,0.7376,120.87,60814.0,728542.66,0.0352,1063.96
317.06,2817.72,0.0414,0.8337,105.08,53615.98,953524.5,0.0539,1010.39
356.23,3033.15,0.0869,0.9768,105.89,55747.19,521957.48,0.0377,1058.54
354.04,2693.22,0.029,0.7855,71.88,60252.79,752804.22,0.195,625.96
171.67,2649.52,0.1848,0.8418,92.91,40558.92,721553.46,0.1334,1083.11
204.66,3587.36,0.2995,0.8114,106.62,29210.05,511477.9,0.04,1152.95
313.63,3837.62,0.0392,0.8826,148.76,42495.6,381706.04,0.0877,1507.28
313.53,1469.08,0.2482,0.7562,91.38,59478.04,932831.97,0.0575,731.17
313.63,2657.85,0.0445,0.7754,138.65,39810.68,821547.68,0.1385,674.61
500.0,2110.52,0.2043,0.949,102.41,85638.67,550947.61,0.1741,1361.43
317.82,2406.41,0.1965,0.9353,144.38,57780.84,846281.25,0.0832,571.14
360.17,2965.3,0.2718,0.9289,126.43,52471.54,715861.98,0.0886,1510.93
346.55,3174.39,0.043,0.9236,124.29,40495.43,844830.13,0.0827,1424.63
323.85,2562.17,0.1015,0.8332,136.0,65609.66,251083.43,0.0926,1234.05
251.35,1151.22,0.0363,0.9114,131.38,30502.95,525158.27,0.012,569.52
331.92,1894.05,0.1281,0.8123,138.69,55710.23,917540.84,0.1206,999.5
217.04,3352.26,0.2744,0.7292,172.51,43313.76,1131091.98,0.1906,1033.38
257.24,503.33,0.2366,0.8141,156.2,52495.34,528824.76,0.1581,1141.6
238.6,3580.15,0.2196,0.746,119.77,58523.51,525377.63,0.173,1225.41
281.14,3058.3,0.1646,0.8133,91.01,31596.57,741246.27,0.0497,812.7
448.6,3681.0,0.2662,0.7863,116.6,22929.62,674163.57,0.1234,1386.02
134.96,2494.45,0.1403,0.8738,44.0,35127.73,711589.75,0.1791,1214.8
326.47,1035.23,0.0534,0.8048,131.25,65007.49,177867.68,0.0184,1211.69
154.05,2987.12,0.2529,0.9046,71.43,56656.7,558729.3,0.1761,979.25
239.61,3648.48,0.0911,0.8485,140.55,43852.13,765459.12,0.0176,1172.92
356.67,3374.37,0.0256,0.9667,167.71,82974.43,139833.39,0.1967,371.43
279.82,2130.89,0.0466,0.7264,59.05,71704.12,285753.82,0.0214,1175.91
194.17,2717.96,0.1866,0.8994,103.41,67717.12,254767.28,0.0768,1574.97
221.35,2232.61,0.1861,0.895,71.29,38550.61,734843.44,0.0157,1297.28
325.97,2008.24,0.0855,0.9757,50.27,67533.74,421936.49,0.0161,1260.3
220.22,3398.39,0.2209,0.8078,101.63,56121.68,368209.84,0.1739,1294.75
291.23,1711.93,0.2344,0.7886,125.11,38582.63,616886.33,0.0174,1432.94
278.42,1949.84,0.2769,0.75,128.89,48782.34,360366.76,0.1596,986.91
226.13,1785.18,0.1796,0.7769,109.87,33365.83,695416.2,0.1818,1361.99
435.8,1482.64,0.236,0.8455,52.3,38727.5,1083957.53,0.1873,1194.86
322.54,2764.69,0.2284,0.9429,108.91,31621.1,532997.66,0.1735,1070.42
123.11,3559.84,0.0848,0.7824,57.74,66283.14,221280.69,0.1913,1477.69
288.98,2505.18,0.1,0.7457,59.81,49329.72,516326.66,0.0151,832.25
225.37,1470.5,0.1488,0.7789,73.43,34963.62,703012.42,0.1993,844.25
338.93,3307.96,0.0155,0.7293,138.24,59036.68,683224.15,0.009,303.71
215.56,3970.47,0.0962,0.9687,122.27,50524.8,772010.75,0.0375,755.79
266.39,2143.78,0.1474,0.9531,115.22,67833.34,488428.68,0.0208,910.61
312.87,2275.13,0.0413,0.7895,77.68,52700.06,550553.25,0.1501,1034.14
339.93,3053.93,0.0466,0.7716,92.72,26786.4,120514.75,0.022,1192.16
184.98,3920.47,0.1443,0.9626,61.61,42303.73,727582.16,0.0621,1329.06
249.91,2242.8,0.222,0.7005,148.2,31406.28,346586.44,0.1294,629.07
239.38,1606.25,0.2518,0.8742,174.58,59789.63,645611.71,0.1021,1084.73
226.0,3144.61,0.1684,0.9656,122.63,68393.6,433494.53,0.0316,738.66
407.41,3275.94,0.1477,0.8475,128.17,25024.31,588800.29,0.1067,628.8
305.37,2654.8,0.1214,0.7009,99.97,48445.82,795768.62,0.0714,1152.67
180.43,2212.8,0.066,0.7635,53.72,69520.39,519437.52,0.1193,1082.18
343.84,3428.93,0.0525,0.9675,78.27,24774.8,459547.66,0.11,1206.24
434.16,3063.63,0.2396,0.7049,90.26,43322.24,606510.85,0.198,1233.59
352.43,2048.06,0.1449,0.8145,92.8,50496.21,478787.92,0.1734,897.27
161.05,2688.46,0.2392,0.929,85.51,68112.82,419520.43,0.0057,1396.55
238.68,1591.16,0.2142,0.943,106.51,59487.37,975584.69,0.0393,759.14
370.02,3187.28,0.0662,0.8385,78.08,62859.07,238740.68,0.1831,715.73
221.92,2444.58,0.158,0.7674,173.64,60440.59,735463.91,0.1102,1176.09
308.29,2308.69,0.1388,0.8739,61.76,44343.33,579151.23,0.1531,1117.99
333.1,2624.25,0.1329,0.7765,133.1,77616.22,442484.74,0.1032,793.57
205.48,2681.57,0.1673,0.774,96.71,39430.0,674785.38,0.1582,786.3
270.54,3351.03,0.2948,0.9342,119.66,4656.22,612812.17,0.0309,1170.3
50.0,3113.02,0.2457,0.7447,121.09,20791.07,867464.96,0.1489,1129.22
198.17,2527.48,0.2721,0.7016,109.97,48571.3,381368.57,0.1746,721.24
256.06,3248.21,0.0186,0.7977,69.11,45029.51,503804.43,0.0568,846.38
181.42,2963.91,0.0507,0.8424,94.49,41649.99,806297.28,0.0768,761.58
397.43,2315.83,0.0346,0.9045,110.35,52978.37,565417.56,0.1202,378.72
167.74,2552.3,0.0863,0.9265,108.37,70307.06,714257.11,0.1743,1481.99
242.0,2533.89,0.1381,0.8924,72.6,57991.46,846530.98,0.182,1125.51
284.81,3045.79,0.1962,0.8817,145.89,61201.08,717313.97,0.1092,1416.82
383.1,2362.5,0.1552,0.8931,26.04,32683.5,484995.85,0.1333,953.22
167.31,2344.18,0.2719,0.7787,97.08,41929.09,536503.67,0.1752,742.18
362.24,4192.19,0.2826,0.8109,75.82,62055.87,848210.34,0.0501,773.08
275.77,3386.13,0.0574,0.8788,110.77,52282.2,636731.99,0.1659,772.83
201.39,2054.2,0.2573,0.719,137.2,58371.53,565662.57,0.0561,885.74
309.66,3097.24,0.1497,0.7856,60.45,60626.44,681954.78,0.1183,559.89
289.93,2742.71,0.1415,0.8179,179.53,53242.14,351722.84,0.1873,927.55
229.98,2956.72,0.2376,0.8547,111.39,76601.45,559122.94,0.1047,868.04
280.24,2757.58,0.037,0.8411,117.09,41729.66,590449.93,0.0232,1326.51
246.1,3581.89,0.2659,0.9083,59.41,36984.99,587213.17,0.1797,1220.13
283.51,2920.74,0.2046,0.8373,103.53,21378.01,527935.03,0.1191,928.87
324.66,2601.36,0.2638,0.9622,135.77,62851.95,544857.54,0.0189,1200.72
393.95,3466.38,0.2984,0.8103,111.65,41094.1,583434.35,0.0071,703.14
182.16,2832.74,0.1602,0.8524,109.44,71389.1,895134.99,0.056,650.1
434.98,2745.16,0.037,0.7009,103.36,54591.22,169787.1,0.0285,1020.18
128.59,2895.98,0.0583,0.79,61.36,44909.26,744396.63,0.1275,1082.36
263.62,2576.67,0.1038,0.9513,61.18,33098.48,588820.48,0.1214,1005.61
319.12,2657.23,0.04,0.7967,142.03,64467.44,593763.31,0.169,1479.38
296.07,2190.42,0.2464,0.7734,132.94,49610.86,525573.38,0.1051,1267.65
228.3,2061.59,0.0961,0.8576,137.63,54918.74,705357.95,0.0544,1377.74
259.39,1867.79,0.293,0.7228,78.94,60473.28,794140.99,0.0148,874.81
238.02,1559.61,0.2138,0.8542,100.01,54884.92,230553.0,0.007,1155.3
230.8,1960.89,0.0603,0.7881,144.01,36478.0,1020600.01,0.1855,719.56
338.72,2513.49,0.1481,0.8111,66.09,59100.92,634536.1,0.0332,818.41
301.78,2730.78,0.1454,0.9295,140.78,64033.31,627717.84,0.1023,1154.86
223.03,2437.48,0.1528,0.892,86.43,56443.78,329945.25,0.16,768.28
342.47,804.7,0.1654,0.8294,77.92,60933.75,492941.4,0.1861,799.43
298.05,3883.43,0.019,0.8675,103.99,62471.48,875095.26,0.0443,1186.38
335.96,3501.08,0.209,0.9224,69.63,43964.96,619597.97,0.0502,808.1
322.22,2999.18,0.1513,0.9163,44.93,43346.3,688320.08,0.0401,1354.7
212.83,4144.2,0.2394,0.7537,107.41,87241.98,514684.06,0.036,982.15
232.99,1884.4,0.2465,0.7873,121.92,72375.04,996211.93,0.0937,995.27
331.05,4128.64,0.0769,0.801,143.48,49704.6,575654.33,0.129,1129.57
320.78,1893.92,0.024,0.7544,124.22,61766.68,829841.15,0.1427,1007.34
273.43,2837.01,0.2139,0.7035,167.24,35028.2,576048.41,0.0688,1138.66
283.8,1652.16,0.2936,0.7505,148.1,40618.46,674812.21,0.1266,759.46
370.82,2661.51,0.1395,0.9344,128.37,29925.99,675735.52,0.0055,188.3
230.63,2952.5,0.0853,0.8583,119.84,55213.41,789064.42,0.1782,602.58
316.03,2528.83,0.0554,0.7991,143.95,55406.53,752276.67,0.1746,905.81
259.84,3209.2,0.0934,0.8764,34.92,68383.13,512134.33,0.1111,1205.31
258.67,2727.56,0.1051,0.9146,89.8,47001.44,835489.63,0.0525,1733.58
357.41,2240.78,0.1329,0.8028,46.15,68098.7,409952.58,0.1946,862.19
336.91,2206.0,0.2001,0.8352,126.0,61273.07,371658.04,0.1631,842.87
336.01,3285.22,0.0892,0.7186,81.48,91077.31,548299.23,0.0083,1156.77
372.91,2137.9,0.0248,0.8732,200.0,78007.41,683893.44,0.0966,1120.18
276.58,3367.07,0.1183,0.8034,88.6,75120.59,403592.87,0.0249,1130.97
326.15,3607.79,0.2581,0.8257,108.37,64288.76,590589.67,0.0308,969.03
251.73,1342.84,0.1545,0.8226,92.26,35745.28,331816.64,0.0053,422.78
299.31,3537.46,0.2898,0.8834,89.52,55331.1,552626.81,0.1391,1112.49
265.24,4264.0,0.1561,0.866,65.53,87584.66,798423.69,0.0542,1034.94
282.27,2847.4,0.09,0.8224,64.46,58864.75,438968.38,0.0644,546.83
319.64,3119.28,0.0661,0.7049,35.98,36940.65,364110.1,0.0142,1234.12
213.63,3462.32,0.2114,0.8801,122.27,56043.5,680967.72,0.0065,1281.08
431.93,2434.21,0.1656,0.9551,91.55,34171.52,450056.93,0.1596,1226.7
199.55,2792.79,0.1852,0.9232,166.23,36372.8,1085724.78,0.134,921.15
183.94,1620.54,0.229,0.9847,65.6,57312.84,644013.47,0.0796,1119.96
361.86,2758.6,0.2205,0.7403,151.75,62702.51,808876.19,0.0186,765.67
334.37,3040.19,0.0226,0.7645,154.79,37334.29,345694.42,0.1563,611.26
321.81,3054.33,0.2427,0.8564,145.44,41267.32,696559.0,0.1856,1018.66
